Neighborhood,Price,Bedrooms,Bathrooms,House Size,Description
"Sunset Valley","$550,000",3,2,"2,500 sqft","Beautiful family home with stunning mountain views in a quiet and peaceful neighborhood."
"Fresh Land","$700,000",4,3,"3,000 sqft","Spacious modern house with a large backyard perfect for entertaining, located in a highly sought-after area."
"Golden Hills","$450,000",2,1,"1,200 sqft","Cozy starter home with a newly renovated kitchen and easy access to parks and schools."
"Riverdale","$900,000",5,4,"4,500 sqft","Luxurious estate featuring a pool, guest house, and breathtaking riverfront views, ideal for entertaining."
"Maple Grove","$350,000",2,2,"1,800 sqft","Charming bungalow with a fenced yard and original hardwood floors, close to shops and restaurants."
"Oakwood Heights","$600,000",3,2,"2,300 sqft","Elegant colonial style home with a spacious deck overlooking the lush greenery of the neighborhood."
"Willow Creek","$800,000",4,3,"3,500 sqft","Custom-built contemporary house with high ceilings and large windows, offering plenty of natural light."
"Pinecrest","$400,000",2,1,"1,000 sqft","Quaint cottage with a fireplace and private garden, located in a friendly and walkable community."
"Silver Springs","$750,000",3,3,"2,800 sqft","Impeccably maintained ranch house with a finished basement and scenic views of the nearby lake."
"Green Meadows","$500,000",3,2,"2,100 sqft","Spacious split-level home with a two-car garage and a backyard perfect for summer barbecues."
"Oceanview Heights","$1,000,000",5,4,"4,000 sqft","Majestic seaside property with panoramic ocean views, featuring a gourmet kitchen and a rooftop deck."
"Mountain Ridge","$650,000",4,3,"2,700 sqft","Contemporary mountain retreat with a hot tub and sauna, nestled in a tranquil and picturesque setting."